ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
STT,"Charlotte Amalie, VI",SJU,"San Juan, PR"
STT,"Charlotte Amalie, VI",MCO,"Orlando, FL"
STT,"Charlotte Amalie, VI",FLL,"Fort Lauderdale, FL"
STT,"Charlotte Amalie, VI",SJU,"San Juan, PR"
STT,"Charlotte Amalie, VI",MCO,"Orlando, FL"
STT,"Charlotte Amalie, VI",STX,"Christiansted, VI"
STT,"Charlotte Amalie, VI",ORD,"Chicago, IL"
STT,"Charlotte Amalie, VI",STL,"St. Louis, MO"
STT,"Charlotte Amalie, VI",IAH,"Houston, TX"
STT,"Charlotte Amalie, VI",EWR,"Newark, NJ"
STT,"Charlotte Amalie, VI",IAD,"Washington, DC"
STT,"Charlotte Amalie, VI",BOS,"Boston, MA"
STT,"Charlotte Amalie, VI",SJU,"San Juan, PR"
STT,"Charlotte Amalie, VI",MDW,"Chicago, IL"
STX,"Christiansted, VI",SJU,"San Juan, PR"
STX,"Christiansted, VI",SJU,"San Juan, PR"
STX,"Christiansted, VI",SJU,"San Juan, PR"
STX,"Christiansted, VI",STT,"Charlotte Amalie, VI"
STX,"Christiansted, VI",MIA,"Miami, FL"
STX,"Christiansted, VI",AGS,"Augusta, GA"
STX,"Christiansted, VI",ATL,"Atlanta, GA"
STX,"Christiansted, VI",ATL,"Atlanta, GA"
STX,"Christiansted, VI",MIA,"Miami, FL"
STX,"Christiansted, VI",CLT,"Charlotte, NC"
STX,"Christiansted, VI",MIA,"Miami, FL"
STX,"Christiansted, VI",STT,"Charlotte Amalie, VI"
STX,"Christiansted, VI",VQS,"Vieques, PR"
STX,"Christiansted, VI",SJU,"San Juan, PR"
STX,"Christiansted, VI",STT,"Charlotte Amalie, VI"
STX,"Christiansted, VI",SJU,"San Juan, PR"
STX,"Christiansted, VI",FLL,"Fort Lauderdale, FL"
STX,"Christiansted, VI",FLL,"Fort Lauderdale, FL"
STX,"Christiansted, VI",FLL,"Fort Lauderdale, FL"
STX,"Christiansted, VI",STT,"Charlotte Amalie, VI"
STX,"Christiansted, VI",VNY,"Van Nuys, CA"
STX,"Christiansted, VI",PBI,"West Palm Beach/Palm Beach, FL"
SUA,"Stuart, FL",FLL,"Fort Lauderdale, FL"
SUN,"Sun Valley/Hailey/Ketchum, ID",SEA,"Seattle, WA"
SUN,"Sun Valley/Hailey/Ketchum, ID",DEN,"Denver, CO"
