airport,page rank
ORH,1.0468985664180388
NY7,1.0422279404536055
5NY,1.0422279404536055
FME,1.0422279404536055
SDM,1.0422279404536055
IN6,1.0422279404536055
SSI,1.0422279404536055
RNT,1.0416492043203116
YNG,1.0354105218023837
JVL,1.0354105218023837
TEX,1.020874818277731
UKI,1.008714700199478
LWB,1.008081675152549
BQN,1.0041472258136994
BTP,0.9995527758650679
ALO,0.9981141807301709
DLF,0.985986978305397
DGW,0.9844477590580902
SQA,0.9794427063333787
VWM,0.9794427063333787
UXK,0.9794427063333787
DIK,0.975796450846075
BJI,0.9691294966695418
SPI,0.9665884900743522
A20,0.9616250892747606
BBX,0.9514367551432874
MA5,0.9514367551432874
BTL,0.9514367551432874
PRB,0.9486201801318224
OWB,0.9455006768575791
VA4,0.9297848264531129
A18,0.9115049015048229
A27,0.9115049015048229
A6K,0.9115049015048229
JHM,0.9055264169559083
PHF,0.9017831028260768
LAW,0.9010857283697145
DVL,0.8950302405551186
PGV,0.8879160806295342
NPA,0.8828676130054859
VCV,0.8608207858506738
JZI,0.8434982763414303
POU,0.8194932328891382
EHM,0.8182847737511065
2AK,0.8169142801353815
MLU,0.8151140882210385
JMS,0.8101448996205989
VLD,0.8079328785870763
ONH,0.8054365224812591
BPT,0.798633122673384
GFK,0.7884233525329252
T6X,0.7856199457371902
FMY,0.7848031792622655
JLN,0.7845213804196577
EAU,0.7708725753313067
CZF,0.7700309787387887
EAR,0.7581310451831127
TYR,0.7556971294553443
LBF,0.7465376820773821
MOD,0.7420327770938142
VUO,0.7364989080008573
PIR,0.7343028105047089
OGD,0.7224935177514128
SBY,0.7172216210234547
ABY,0.7166962545842249
GGW,0.7158004012126933
RUT,0.7060334641174939
DOV,0.6936971156913304
OCA,0.6869086870682934
RDD,0.6855058448769872
MRK,0.6779674784874871
LCH,0.6729939923345215
EIL,0.6611953794087531
TVI,0.6605161426339696
ISM,0.6605161426339696
FTY,0.656294076666983
AFO,0.6483150548215072
AZ3,0.6483150548215072
SNS,0.6483150548215072
ESN,0.6483150548215072
SHN,0.6483150548215072
OAJ,0.6442285146881593
TVF,0.6430344819398645
OTH,0.6421273173926575
PLN,0.6359225603375614
SPS,0.6349041735770037
WA6,0.6209684967684249
HWD,0.6164294419702828
